File,Name,Kind,Signature,Description
src/animation/behaviors/momentum.ts,MomentumOptions,interface,"{ animator, friction, threshold, velocitySampleMs, now }",
src/animation/behaviors/momentum.ts,MomentumOptions.animator,field,Animator,Required: the per-Canvas animator that will own the decay.
src/animation/behaviors/momentum.ts,MomentumOptions.friction?,field,number,
src/animation/behaviors/momentum.ts,MomentumOptions.threshold?,field,number,
src/animation/behaviors/momentum.ts,MomentumOptions.velocitySampleMs?,field,number,Sample window in ms for velocity computation.
src/animation/behaviors/momentum.ts,MomentumOptions.now?,field,() => number,Optional clock override for tests.
src/animation/behaviors/momentum.ts,momentum,function,(opts: MomentumOptions) => MoveBehavior<TPose>,
src/animation/behaviors/momentum.ts,momentum.opts,param,opts: MomentumOptions,
src/animation/easings.ts,linear,function,(t),compatibility with existing call sites.
src/animation/easings.ts,linear.t,param,t,
src/animation/easings.ts,easeInQuad,function,(t),Quadratic (degree 2)
src/animation/easings.ts,easeInQuad.t,param,t,
src/animation/easings.ts,easeOutQuad,function,(t),
src/animation/easings.ts,easeOutQuad.t,param,t,
src/animation/easings.ts,easeInOutQuad,function,(t),
src/animation/easings.ts,easeInOutQuad.t,param,t,
src/animation/easings.ts,easeInCubic,function,(t),Cubic (degree 3)
src/animation/easings.ts,easeInCubic.t,param,t,
src/animation/easings.ts,easeOutCubic,function,(t),
src/animation/easings.ts,easeOutCubic.t,param,t,
src/animation/easings.ts,easeInOutCubic,function,(t),
src/animation/easings.ts,easeInOutCubic.t,param,t,
src/animation/easings.ts,easeInQuart,function,(t),Quartic (degree 4)
src/animation/easings.ts,easeInQuart.t,param,t,
src/animation/easings.ts,easeOutQuart,function,(t),
src/animation/easings.ts,easeOutQuart.t,param,t,
src/animation/easings.ts,easeInOutQuart,function,(t),
src/animation/easings.ts,easeInOutQuart.t,param,t,
src/animation/easings.ts,easeInQuint,function,(t),Quintic (degree 5)
src/animation/easings.ts,easeInQuint.t,param,t,
src/animation/easings.ts,easeOutQuint,function,(t),
src/animation/easings.ts,easeOutQuint.t,param,t,
src/animation/easings.ts,easeInOutQuint,function,(t),
src/animation/easings.ts,easeInOutQuint.t,param,t,
src/animation/easings.ts,easeInSine,function,(t),--- Trigonometric / transcendental
src/animation/easings.ts,easeInSine.t,param,t,
src/animation/easings.ts,easeOutSine,function,(t),
src/animation/easings.ts,easeOutSine.t,param,t,
src/animation/easings.ts,easeInOutSine,function,(t),
src/animation/easings.ts,easeInOutSine.t,param,t,
src/animation/easings.ts,easeInExpo,function,(t),
src/animation/easings.ts,easeInExpo.t,param,t,
src/animation/easings.ts,easeOutExpo,function,(t),
src/animation/easings.ts,easeOutExpo.t,param,t,
src/animation/easings.ts,easeInOutExpo,function,(t),
src/animation/easings.ts,easeInOutExpo.t,param,t,
src/animation/easings.ts,easeInCirc,function,(t),
src/animation/easings.ts,easeInCirc.t,param,t,
src/animation/easings.ts,easeOutCirc,function,(t),
src/animation/easings.ts,easeOutCirc.t,param,t,
src/animation/easings.ts,easeInOutCirc,function,(t),
src/animation/easings.ts,easeInOutCirc.t,param,t,
src/animation/easings.ts,easeInBack,function,(t),
src/animation/easings.ts,easeInBack.t,param,t,
src/animation/easings.ts,easeOutBack,function,(t),
src/animation/easings.ts,easeOutBack.t,param,t,
src/animation/easings.ts,easeInOutBack,function,(t),
src/animation/easings.ts,easeInOutBack.t,param,t,
src/animation/easings.ts,easeInElastic,function,(t),
src/animation/easings.ts,easeInElastic.t,param,t,
src/animation/easings.ts,easeOutElastic,function,(t),
src/animation/easings.ts,easeOutElastic.t,param,t,
src/animation/easings.ts,easeInOutElastic,function,(t),
src/animation/easings.ts,easeInOutElastic.t,param,t,
src/animation/easings.ts,easeOutBounce,function,(t),
src/animation/easings.ts,easeOutBounce.t,param,t,
src/animation/easings.ts,easeInBounce,function,(t),
src/animation/easings.ts,easeInBounce.t,param,t,
src/animation/easings.ts,easeInOutBounce,function,(t),
src/animation/easings.ts,easeInOutBounce.t,param,t,
src/animation/easings.ts,easeIn,const,easeInQuad,easeOut/easeInOut; those resolve to the quadratic curve.
src/animation/easings.ts,easeOut,const,easeOutQuad,
src/animation/easings.ts,easeInOut,const,easeInOutQuad,
src/animation/easings.ts,EASINGS,const,"{ linear, easeInQuad, easeOutQuad, easeInOutQuad, easeInCubic, easeOutCubic, easeInOutCubic, easeInQuart, easeOutQuart, ",All easings in one bag — useful for demos / pickers.
src/animation/easings.ts,EasingName,type,keyof typeof EASINGS,
src/animation/easings.ts,SPRING_PRESETS,const,"Record<SpringPresetName, SpringPreset>",
src/animation/index.ts,* from './types',reexport-all,*,
src/animation/index.ts,linear,reexport,re-export from './easings',
src/animation/index.ts,easeIn,reexport,re-export from './easings',
src/animation/index.ts,easeOut,reexport,re-export from './easings',
src/animation/index.ts,easeInOut,reexport,re-export from './easings',
src/animation/index.ts,easeInQuad,reexport,re-export from './easings',
src/animation/index.ts,easeOutQuad,reexport,re-export from './easings',
src/animation/index.ts,easeInOutQuad,reexport,re-export from './easings',
src/animation/index.ts,easeInCubic,reexport,re-export from './easings',
src/animation/index.ts,easeOutCubic,reexport,re-export from './easings',
src/animation/index.ts,easeInOutCubic,reexport,re-export from './easings',
src/animation/index.ts,easeInQuart,reexport,re-export from './easings',
src/animation/index.ts,easeOutQuart,reexport,re-export from './easings',
src/animation/index.ts,easeInOutQuart,reexport,re-export from './easings',
src/animation/index.ts,easeInQuint,reexport,re-export from './easings',
src/animation/index.ts,easeOutQuint,reexport,re-export from './easings',
src/animation/index.ts,easeInOutQuint,reexport,re-export from './easings',
src/animation/index.ts,easeInSine,reexport,re-export from './easings',
src/animation/index.ts,easeOutSine,reexport,re-export from './easings',
src/animation/index.ts,easeInOutSine,reexport,re-export from './easings',
src/animation/index.ts,easeInExpo,reexport,re-export from './easings',
src/animation/index.ts,easeOutExpo,reexport,re-export from './easings',
src/animation/index.ts,easeInOutExpo,reexport,re-export from './easings',
src/animation/index.ts,easeInCirc,reexport,re-export from './easings',
src/animation/index.ts,easeOutCirc,reexport,re-export from './easings',
src/animation/index.ts,easeInOutCirc,reexport,re-export from './easings',
src/animation/index.ts,easeInBack,reexport,re-export from './easings',
src/animation/index.ts,easeOutBack,reexport,re-export from './easings',
src/animation/index.ts,easeInOutBack,reexport,re-export from './easings',
src/animation/index.ts,easeInElastic,reexport,re-export from './easings',
src/animation/index.ts,easeOutElastic,reexport,re-export from './easings',
src/animation/index.ts,easeInOutElastic,reexport,re-export from './easings',
src/animation/index.ts,easeInBounce,reexport,re-export from './easings',
src/animation/index.ts,easeOutBounce,reexport,re-export from './easings',
